,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
675,2021/2022,Southampton,Aston Villa,1-0,0-0,1-0,"30,178",20:00,1,0,0,0,1,0,1,0,1,Home
676,2021/2022,Wolves,Everton,2-0,0-1,2-1,"30,617",20:00,2,0,0,1,2,1,2,1,3,Home
677,2021/2022,Aston Villa,West Ham,1-2,0-2,1-4,"41,874",16:30,1,2,0,2,1,4,3,2,5,Away
678,2021/2022,Norwich,Leeds Utd,0-0,1-2,1-2,"26,913",14:00,0,0,1,2,1,2,0,3,3,Away
679,2021/2022,Tottenham,Man Utd,0-1,0-2,0-3,"60,356",16:30,0,1,0,2,0,3,1,2,3,Away
680,2021/2022,Newcastle,Chelsea,0-0,0-3,0-3,"52,208",14:00,0,0,0,3,0,3,0,3,3,Away
681,2021/2022,Watford,Southampton,0-1,0-0,0-1,"20,869",14:00,0,1,0,0,0,1,1,0,1,Away
682,2021/2022,Man City,Crystal Palace,0-1,0-1,0-2,"53,014",14:00,0,1,0,1,0,2,1,1,2,Away
683,2021/2022,Burnley,Brentford,3-0,0-1,3-1,"18,821",14:00,3,0,0,1,3,1,3,1,4,Home
684,2021/2022,Liverpool,Brighton,2-1,0-1,2-2,"52,598",14:00,2,1,0,1,2,2,3,1,4,Draw
685,2021/2022,Leicester City,Arsenal,0-2,0-0,0-2,"32,209",11:30,0,2,0,0,0,2,2,0,2,Away
686,2021/2022,West Ham,Tottenham,0-0,1-0,1-0,"59,924",13:00,0,0,1,0,1,0,0,1,1,Home
687,Brentford - Leicester City,Brentford,Leicester City,0-1,1-1,1-2,"16,814",13:00,0,1,1,1,1,2,1,2,3,Away
688,2021/2022,Man Utd,Liverpool,0-4,0-1,0-5,"73,088",15:30,0,4,0,1,0,5,4,1,5,Away
689,2021/2022,Brighton,Man City,0-3,1-1,1-4,"31,215",16:30,0,3,1,1,1,4,3,2,5,Away
690,2021/2022,Leeds Utd,Wolves,0-1,1-0,1-1,"36,475",14:00,0,1,1,0,1,1,1,1,2,Draw
691,2021/2022,Everton,Watford,1-1,1-4,2-5,"38,834",14:00,1,1,1,4,2,5,2,5,7,Away
692,2021/2022,Crystal Palace,Newcastle,0-0,1-1,1-1,"24,609",14:00,0,0,1,1,1,1,0,2,2,Draw
693,2021/2022,Southampton,Burnley,1-1,1-1,2-2,"29,145",14:00,1,1,1,1,2,2,2,2,4,Draw
694,2021/2022,Arsenal,Aston Villa,2-0,1-1,3-1,"59,496",19:00,2,0,1,1,3,1,2,2,4,Home
695,2021/2022,Chelsea,Norwich,3-0,4-0,7-0,"40,113",11:30,3,0,4,0,7,0,3,4,7,Home
696,2021/2022,Arsenal,Crystal Palace,1-0,1-2,2-2,"59,475",19:00,1,0,1,2,2,2,1,3,4,Draw
697,2021/2022,Newcastle,Tottenham,1-3,1-0,2-3,"52,214",15:30,1,3,1,0,2,3,4,1,5,Away
698,2021/2022,Everton,West Ham,0-0,0-1,0-1,"39,132",13:00,0,0,0,1,0,1,0,1,1,Away
699,Brentford - Chelsea,Brentford,Chelsea,0-1,0-0,0-1,"16,940",16:30,0,1,0,0,0,1,1,0,1,Away
