,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
727,2020/2021,Trabzonspor,Gençlerbirliği,1-0,1-1,2-1,Unknown,17:30,1,0,1,1,2,1,1,2,3,Home
728,2020/2021,Galatasaray,Malatyaspor,0-1,3-0,3-1,Unknown,17:30,0,1,3,0,3,1,1,3,4,Home
729,Göztepe - Beşiktaş,Göztepe,Beşiktaş,1-1,0-1,1-2,Unknown,17:30,1,1,0,1,1,2,2,1,3,Away
730,2020/2021,Kayserispor,Fenerbahçe,1-0,0-2,1-2,Unknown,17:30,1,0,0,2,1,2,1,2,3,Away
731,Ankaragücü - Alanyaspor,Ankaragücü,Alanyaspor,0-1,0-0,0-1,Unknown,15:00,0,1,0,0,0,1,1,0,1,Away
732,2020/2021,Hatayspor,Gaziantep,0-0,0-1,0-1,Unknown,15:00,0,0,0,1,0,1,0,1,1,Away
733,Sivasspor - Kasımpaşa,Sivasspor,Kasımpaşa,1-0,1-1,2-1,Unknown,15:00,1,0,1,1,2,1,1,2,3,Home
734,2020/2021,Karagümrük,Denizlispor,2-1,3-0,5-1,Unknown,15:00,2,1,3,0,5,1,3,3,6,Home
735,2020/2021,Rizespor,Başakşehir,0-2,0-0,0-2,Unknown,15:00,0,2,0,0,0,2,2,0,2,Away
736,2020/2021,Antalyaspor,Konyaspor,0-0,0-0,0-0,Unknown,15:00,0,0,0,0,0,0,0,0,0,Draw
737,2020/2021,Alanyaspor,Erzurumspor,2-1,0-2,2-3,Unknown,17:30,2,1,0,2,2,3,3,2,5,Away
738,2020/2021,Malatyaspor,Hatayspor,0-1,1-0,1-1,Unknown,17:30,0,1,1,0,1,1,1,1,2,Draw
739,2020/2021,Gaziantep,Rizespor,0-3,4-2,4-5,Unknown,17:30,0,3,4,2,4,5,3,6,9,Away
740,2020/2021,Kasımpaşa,Ankaragücü,2-0,1-1,3-1,Unknown,17:30,2,0,1,1,3,1,2,2,4,Home
741,2020/2021,Başakşehir,Kayserispor,0-0,0-0,0-0,Unknown,17:30,0,0,0,0,0,0,0,0,0,Draw
742,2020/2021,Denizlispor,Galatasaray,0-2,1-2,1-4,Unknown,17:30,0,2,1,2,1,4,2,3,5,Away
743,Gençlerbirliği - Göztepe,Gençlerbirliği,Göztepe,1-2,4-1,5-3,Unknown,17:30,1,2,4,1,5,3,3,5,8,Home
744,2020/2021,Beşiktaş,Karagümrük,0-1,1-1,1-2,Unknown,17:30,0,1,1,1,1,2,1,2,3,Away
745,2020/2021,Fenerbahçe,Sivasspor,0-1,1-1,1-2,Unknown,17:30,0,1,1,1,1,2,1,2,3,Away
746,2020/2021,Konyaspor,Trabzonspor,0-0,1-1,1-1,Unknown,14:00,0,0,1,1,1,1,0,2,2,Draw
747,2020/2021,Rizespor,Malatyaspor,0-2,0-2,0-4,Unknown,17:30,0,2,0,2,0,4,2,2,4,Away
748,Göztepe - Konyaspor,Göztepe,Konyaspor,0-0,0-1,0-1,Unknown,17:30,0,0,0,1,0,1,0,1,1,Away
749,2020/2021,Kayserispor,Gaziantep,0-0,0-0,0-0,Unknown,17:30,0,0,0,0,0,0,0,0,0,Draw
750,Ankaragücü - Fenerbahçe,Ankaragücü,Fenerbahçe,1-1,0-1,1-2,Unknown,17:30,1,1,0,1,1,2,2,1,3,Away
751,2020/2021,Trabzonspor,Antalyaspor,1-0,1-1,2-1,Unknown,17:30,1,0,1,1,2,1,1,2,3,Home
752,2020/2021,Galatasaray,Beşiktaş,2-1,1-0,3-1,Unknown,17:30,2,1,1,0,3,1,3,1,4,Home
753,2020/2021,Erzurumspor,Kasımpaşa,0-0,0-1,0-1,Unknown,17:30,0,0,0,1,0,1,0,1,1,Away
754,2020/2021,Hatayspor,Denizlispor,0-0,1-0,1-0,Unknown,17:30,0,0,1,0,1,0,0,1,1,Home
755,2020/2021,Karagümrük,Gençlerbirliği,2-0,3-1,5-1,Unknown,17:30,2,0,3,1,5,1,2,4,6,Home
756,Sivasspor - Başakşehir,Sivasspor,Başakşehir,0-0,0-0,0-0,Unknown,17:30,0,0,0,0,0,0,0,0,0,Draw
757,2020/2021,Fenerbahçe,Erzurumspor,3-0,0-1,3-1,Unknown,17:30,3,0,0,1,3,1,3,1,4,Home
758,2020/2021,Gaziantep,Sivasspor,0-1,0-0,0-1,Unknown,17:30,0,1,0,0,0,1,1,0,1,Away
759,2020/2021,Malatyaspor,Kayserispor,0-1,1-0,1-1,Unknown,13:00,0,1,1,0,1,1,1,1,2,Draw
760,2020/2021,Kasımpaşa,Alanyaspor,2-0,1-0,3-0,Unknown,13:00,2,0,1,0,3,0,2,1,3,Home
761,2020/2021,Başakşehir,Ankaragücü,0-1,2-0,2-1,Unknown,13:00,0,1,2,0,2,1,1,2,3,Home
762,Gençlerbirliği - Galatasaray,Gençlerbirliği,Galatasaray,0-1,0-1,0-2,Unknown,17:30,0,1,0,1,0,2,1,1,2,Away
763,2020/2021,Konyaspor,Karagümrük,1-1,4-0,5-1,Unknown,13:00,1,1,4,0,5,1,2,4,6,Home
764,2020/2021,Antalyaspor,Göztepe,1-1,1-2,2-3,Unknown,13:00,1,1,1,2,2,3,2,3,5,Away
765,2020/2021,Beşiktaş,Hatayspor,5-0,2-0,7-0,Unknown,17:30,5,0,2,0,7,0,5,2,7,Home
766,2020/2021,Denizlispor,Rizespor,0-0,0-1,0-1,Unknown,13:00,0,0,0,1,0,1,0,1,1,Away
767,2020/2021,Alanyaspor,Fenerbahçe,0-0,0-0,0-0,Unknown,17:30,0,0,0,0,0,0,0,0,0,Draw
768,Ankaragücü - Gaziantep,Ankaragücü,Gaziantep,0-0,0-1,0-1,Unknown,17:30,0,0,0,1,0,1,0,1,1,Away
769,2020/2021,Erzurumspor,Başakşehir,1-0,0-2,1-2,Unknown,13:00,1,0,0,2,1,2,1,2,3,Away
770,Sivasspor - Malatyaspor,Sivasspor,Malatyaspor,0-0,1-0,1-0,Unknown,13:00,0,0,1,0,1,0,0,1,1,Home
771,2020/2021,Rizespor,Beşiktaş,0-1,2-2,2-3,Unknown,17:30,0,1,2,2,2,3,1,4,5,Away
772,Göztepe - Trabzonspor,Göztepe,Trabzonspor,1-0,0-1,1-1,Unknown,13:00,1,0,0,1,1,1,1,1,2,Draw
773,2020/2021,Galatasaray,Konyaspor,0-0,1-0,1-0,Unknown,17:30,0,0,1,0,1,0,0,1,1,Home
774,2020/2021,Karagümrük,Antalyaspor,2-1,0-1,2-2,Unknown,13:00,2,1,0,1,2,2,3,1,4,Draw
775,2020/2021,Kayserispor,Denizlispor,3-1,3-2,6-3,Unknown,13:00,3,1,3,2,6,3,4,5,9,Home
776,2020/2021,Hatayspor,Gençlerbirliği,1-0,2-1,3-1,Unknown,17:30,1,0,2,1,3,1,1,3,4,Home
777,2020/2021,Fenerbahçe,Kasımpaşa,3-1,0-1,3-2,Unknown,17:30,3,1,0,1,3,2,4,1,5,Home
778,2020/2021,Gaziantep,Erzurumspor,0-0,2-3,2-3,Unknown,13:00,0,0,2,3,2,3,0,5,5,Away
779,2020/2021,Başakşehir,Alanyaspor,0-0,0-0,0-0,Unknown,13:00,0,0,0,0,0,0,0,0,0,Draw
780,2020/2021,Malatyaspor,Ankaragücü,0-0,2-1,2-1,Unknown,10:30,0,0,2,1,2,1,0,3,3,Home
781,2020/2021,Denizlispor,Sivasspor,0-1,1-0,1-1,Unknown,17:30,0,1,1,0,1,1,1,1,2,Draw
782,2020/2021,Beşiktaş,Kayserispor,2-1,1-0,3-1,Unknown,17:30,2,1,1,0,3,1,3,1,4,Home
783,2020/2021,Antalyaspor,Galatasaray,0-0,0-1,0-1,Unknown,17:30,0,0,0,1,0,1,0,1,1,Away
784,2020/2021,Trabzonspor,Karagümrük,1-0,1-0,2-0,Unknown,13:00,1,0,1,0,2,0,1,1,2,Home
785,2020/2021,Konyaspor,Hatayspor,0-0,0-0,0-0,Unknown,10:30,0,0,0,0,0,0,0,0,0,Draw
786,Gençlerbirliği - Rizespor,Gençlerbirliği,Rizespor,1-0,1-1,2-1,Unknown,17:30,1,0,1,1,2,1,1,2,3,Home
787,2020/2021,Kasımpaşa,Başakşehir,0-1,0-0,0-1,Unknown,16:00,0,1,0,0,0,1,1,0,1,Away
788,Ankaragücü - Denizlispor,Ankaragücü,Denizlispor,1-1,0-0,1-1,Unknown,13:00,1,1,0,0,1,1,2,0,2,Draw
789,2020/2021,Alanyaspor,Gaziantep,2-2,1-0,3-2,Unknown,13:00,2,2,1,0,3,2,4,1,5,Home
