,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
724,2020/2021,Bayern,Stuttgart,4-0,0-0,4-0,Unknown,14:30,4,0,0,0,4,0,4,0,4,Home
725,2020/2021,Bielefeld,RB Leipzig,0-0,0-1,0-1,Unknown,19:30,0,0,0,1,0,1,0,1,1,Away
726,2020/2021,Stuttgart,Hoffenheim,1-0,1-0,2-0,Unknown,17:00,1,0,1,0,2,0,1,1,2,Home
727,2020/2021,RB Leipzig,Frankfurt,0-0,1-1,1-1,Unknown,14:30,0,0,1,1,1,1,0,2,2,Draw
728,2020/2021,Leverkusen,Bielefeld,0-1,1-1,1-2,Unknown,12:30,0,1,1,1,1,2,1,2,3,Away
729,2020/2021,Dortmund,Hertha,0-0,2-0,2-0,Unknown,17:30,0,0,2,0,2,0,0,2,2,Home
730,2020/2021,Mainz,Freiburg,0-0,1-0,1-0,Unknown,14:30,0,0,1,0,1,0,0,1,1,Home
731,2020/2021,Wolfsburg,Schalke,1-0,4-0,5-0,Unknown,14:30,1,0,4,0,5,0,1,4,5,Home
732,2020/2021,Union Berlin,Köln,0-1,2-0,2-1,Unknown,14:30,0,1,2,0,2,1,1,2,3,Home
733,2020/2021,W. Bremen,Bayern,0-2,1-1,1-3,Unknown,14:30,0,2,1,1,1,3,2,2,4,Away
734,2020/2021,Augsburg,M'gladbach,0-0,3-1,3-1,Unknown,19:30,0,0,3,1,3,1,0,4,4,Home
735,2020/2021,Bielefeld,Union Berlin,0-0,0-0,0-0,Unknown,17:00,0,0,0,0,0,0,0,0,0,Draw
736,2020/2021,Köln,W. Bremen,0-0,1-1,1-1,Unknown,14:30,0,0,1,1,1,1,0,2,2,Draw
737,2020/2021,Bayern,Dortmund,2-2,2-0,4-2,Unknown,17:30,2,2,2,0,4,2,4,2,6,Home
738,2020/2021,Frankfurt,Stuttgart,0-0,1-1,1-1,Unknown,14:30,0,0,1,1,1,1,0,2,2,Draw
739,2020/2021,Hoffenheim,Wolfsburg,2-1,0-0,2-1,Unknown,14:30,2,1,0,0,2,1,3,0,3,Home
740,2020/2021,Freiburg,RB Leipzig,0-1,0-2,0-3,Unknown,14:30,0,1,0,2,0,3,1,2,3,Away
741,2020/2021,M'gladbach,Leverkusen,0-0,0-1,0-1,Unknown,14:30,0,0,0,1,0,1,0,1,1,Away
742,2020/2021,Hertha,Augsburg,0-1,2-0,2-1,Unknown,14:30,0,1,2,0,2,1,1,2,3,Home
743,2020/2021,Schalke,Mainz,0-0,0-0,0-0,Unknown,19:30,0,0,0,0,0,0,0,0,0,Draw
744,2020/2021,Leverkusen,Freiburg,0-0,1-2,1-2,Unknown,17:00,0,0,1,2,1,2,0,3,3,Away
745,2020/2021,Mainz,Augsburg,0-1,0-0,0-1,Unknown,14:30,0,1,0,0,0,1,1,0,1,Away
746,2020/2021,Union Berlin,Hoffenheim,1-1,0-0,1-1,Unknown,12:30,1,1,0,0,1,1,2,0,2,Draw
747,2020/2021,RB Leipzig,M'gladbach,0-2,3-0,3-2,Unknown,17:30,0,2,3,0,3,2,2,3,5,Home
748,2020/2021,Wolfsburg,Hertha,1-0,1-0,2-0,Unknown,14:30,1,0,1,0,2,0,1,1,2,Home
749,2020/2021,Bayern,Köln,2-0,3-1,5-1,Unknown,14:30,2,0,3,1,5,1,2,4,6,Home
750,2020/2021,Stuttgart,Schalke,3-1,2-0,5-1,Unknown,14:30,3,1,2,0,5,1,4,2,6,Home
751,2020/2021,Dortmund,Bielefeld,0-0,3-0,3-0,Unknown,14:30,0,0,3,0,3,0,0,3,3,Home
752,2020/2021,W. Bremen,Frankfurt,0-1,2-0,2-1,Unknown,19:30,0,1,2,0,2,1,1,2,3,Home
753,2020/2021,Hoffenheim,W. Bremen,2-0,2-0,4-0,Unknown,17:00,2,0,2,0,4,0,2,2,4,Home
754,2020/2021,Hertha,RB Leipzig,0-1,0-2,0-3,Unknown,14:30,0,1,0,2,0,3,1,2,3,Away
755,2020/2021,Augsburg,Leverkusen,1-0,0-1,1-1,Unknown,12:30,1,0,0,1,1,1,1,1,2,Draw
756,2020/2021,Schalke,Dortmund,0-2,0-2,0-4,Unknown,17:30,0,2,0,2,0,4,2,2,4,Away
757,2020/2021,M'gladbach,Mainz,1-1,0-1,1-2,Unknown,14:30,1,1,0,1,1,2,2,1,3,Away
758,2020/2021,Frankfurt,Bayern,2-0,0-1,2-1,Unknown,14:30,2,0,0,1,2,1,2,1,3,Home
759,2020/2021,Köln,Stuttgart,0-0,0-1,0-1,Unknown,14:30,0,0,0,1,0,1,0,1,1,Away
760,2020/2021,Freiburg,Union Berlin,0-0,0-1,0-1,Unknown,14:30,0,0,0,1,0,1,0,1,1,Away
761,2020/2021,Bielefeld,Wolfsburg,0-1,0-2,0-3,Unknown,19:30,0,1,0,2,0,3,1,2,3,Away
762,2020/2021,Wolfsburg,M'gladbach,0-0,0-0,0-0,Unknown,17:00,0,0,0,0,0,0,0,0,0,Draw
763,2020/2021,Frankfurt,Köln,0-0,2-0,2-0,Unknown,14:30,0,0,2,0,2,0,0,2,2,Home
764,2020/2021,Bayern,Bielefeld,0-2,3-1,3-3,Unknown,19:30,0,2,3,1,3,3,2,4,6,Draw
765,2020/2021,Union Berlin,Schalke,0-0,0-0,0-0,Unknown,17:30,0,0,0,0,0,0,0,0,0,Draw
766,2020/2021,Leverkusen,Mainz,1-0,1-2,2-2,Unknown,14:30,1,0,1,2,2,2,1,3,4,Draw
767,2020/2021,W. Bremen,Freiburg,0-0,0-0,0-0,Unknown,14:30,0,0,0,0,0,0,0,0,0,Draw
768,2020/2021,Stuttgart,Hertha,1-0,0-1,1-1,Unknown,14:30,1,0,0,1,1,1,1,1,2,Draw
769,2020/2021,Dortmund,Hoffenheim,1-1,1-1,2-2,Unknown,14:30,1,1,1,1,2,2,2,2,4,Draw
770,2020/2021,RB Leipzig,Augsburg,2-0,0-1,2-1,Unknown,19:30,2,0,0,1,2,1,2,1,3,Home
771,2020/2021,Bielefeld,W. Bremen,0-0,0-2,0-2,Unknown,17:30,0,0,0,2,0,2,0,2,2,Away
772,2020/2021,Hoffenheim,Frankfurt,0-1,1-2,1-3,Unknown,14:30,0,1,1,2,1,3,1,3,4,Away
773,2020/2021,M'gladbach,Köln,1-1,0-1,1-2,Unknown,17:30,1,1,0,1,1,2,2,1,3,Away
774,2020/2021,Augsburg,Wolfsburg,0-1,0-1,0-2,Unknown,14:30,0,1,0,1,0,2,1,1,2,Away
775,2020/2021,Mainz,Union Berlin,1-0,0-0,1-0,Unknown,14:30,1,0,0,0,1,0,1,0,1,Home
776,2020/2021,Schalke,RB Leipzig,0-1,0-2,0-3,Unknown,14:30,0,1,0,2,0,3,1,2,3,Away
777,2020/2021,Freiburg,Dortmund,0-0,2-1,2-1,Unknown,14:30,0,0,2,1,2,1,0,3,3,Home
778,2020/2021,Hertha,Bayern,0-1,0-0,0-1,Unknown,19:00,0,1,0,0,0,1,1,0,1,Away
779,2020/2021,Leverkusen,Stuttgart,2-0,3-2,5-2,Unknown,14:30,2,0,3,2,5,2,2,5,7,Home
780,2020/2021,Wolfsburg,Freiburg,2-0,1-0,3-0,Unknown,17:00,2,0,1,0,3,0,2,1,3,Home
781,2020/2021,Köln,Bielefeld,2-0,1-1,3-1,Unknown,14:30,2,0,1,1,3,1,2,2,4,Home
