,season,team_name1,team_name2,first_half,second_half,match_score,attendance,match_time,first_half_home,first_half_away,second_half_home,second_half_away,total_scored_home,total_scored_away,first_half_total,second_half_total,total_goal,winner
816,2020/2021,Montpellier,Brest,0-0,0-0,0-0,Unknown,19:00,0,0,0,0,0,0,0,0,0,Draw
817,2020/2021,Reims,Monaco,0-1,0-0,0-1,Unknown,15:05,0,1,0,0,0,1,1,0,1,Away
818,2020/2021,Nice,Brest,1-2,2-0,3-2,Unknown,13:00,1,2,2,0,3,2,3,2,5,Home
819,2020/2021,Strasbourg,Montpellier,0-1,2-2,2-3,Unknown,13:00,0,1,2,2,2,3,1,4,5,Away
820,2020/2021,Metz,Nimes,0-0,0-3,0-3,Unknown,13:00,0,0,0,3,0,3,0,3,3,Away
821,2020/2021,Angers,Dijon,1-0,2-0,3-0,Unknown,13:00,1,0,2,0,3,0,1,2,3,Home
822,2020/2021,Nantes,Bordeaux,1-0,2-0,3-0,Unknown,11:00,1,0,2,0,3,0,1,2,3,Home
823,2020/2021,Saint-Étienne,Marseille,1-0,0-0,1-0,Unknown,11:00,1,0,0,0,1,0,1,0,1,Home
824,2020/2021,Lyon,Lorient,0-0,4-1,4-1,Unknown,15:00,0,0,4,1,4,1,0,5,5,Home
825,2020/2021,Lens,Lille,0-2,0-1,0-3,Unknown,19:00,0,2,0,1,0,3,2,1,3,Away
826,2020/2021,Monaco,Lyon,1-0,1-3,2-3,Unknown,19:00,1,0,1,3,2,3,1,4,5,Away
827,2020/2021,Montpellier,Saint-Étienne,1-1,0-1,1-2,Unknown,15:05,1,1,0,1,1,2,2,1,3,Away
828,2020/2021,Nimes,Reims,0-1,2-1,2-2,Unknown,13:00,0,1,2,1,2,2,1,3,4,Draw
829,2020/2021,Dijon,Metz,0-2,1-3,1-5,Unknown,13:00,0,2,1,3,1,5,2,4,6,Away
830,2020/2021,Lorient,Angers,1-0,1-0,2-0,Unknown,13:00,1,0,1,0,2,0,1,1,2,Home
831,2020/2021,Bordeaux,Rennais,1-0,0-0,1-0,Unknown,11:00,1,0,0,0,1,0,1,0,1,Home
832,2020/2021,Lille,Nice,1-0,1-0,2-0,Unknown,19:00,1,0,1,0,2,0,1,1,2,Home
833,2020/2021,Brest,Nantes,0-2,1-2,1-4,Unknown,13:00,0,2,1,2,1,4,2,3,5,Away
